SpatialDimValueCode,Location,country,Obesity_Rate,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
COK,Cook Islands,Cook Islands,55.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.48,NA,NA,8.13,NA,15.95,11.48 [8.13 – 15.95],NA,NA,EN,2018-09-13T07:00:00Z
MDG,Madagascar,Madagascar,5.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.53,NA,NA,8.76,NA,15.02,11.53 [8.76 – 15.02],NA,NA,EN,2018-09-13T07:00:00Z
CAF,Central African Republic,Central African Republic,7.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.57,NA,NA,8.84,NA,14.99,11.57 [8.84 – 14.99],NA,NA,EN,2018-09-13T07:00:00Z
MDA,Republic of Moldova,Moldova,18.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.71,NA,NA,8.25,NA,16.35,11.71 [8.25 – 16.35],NA,NA,EN,2018-09-13T07:00:00Z
ERI,Eritrea,Eritrea,5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.74,NA,NA,9.97,NA,13.5,11.74 [9.97 – 13.5],NA,NA,EN,2018-09-13T07:00:00Z
MWI,Malawi,Malawi,5.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.87,NA,NA,10.34,NA,13.41,11.87 [10.34 – 13.41],NA,NA,EN,2018-09-13T07:00:00Z
MDA,Republic of Moldova,Moldova,18.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.05,NA,NA,8.59,NA,16.64,12.05 [8.59 – 16.64],NA,NA,EN,2018-09-13T07:00:00Z
BEN,Benin,Benin,9.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.15,NA,NA,9.3,NA,15.71,12.15 [9.3 – 15.71],NA,NA,EN,2018-09-13T07:00:00Z
SLB,Solomon Islands,Solomon Islands,22.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,8.78,NA,16.96,12.3 [8.78 – 16.96],NA,NA,EN,2018-09-13T07:00:00Z
WSM,Samoa,Samoa,47.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.37,NA,NA,8.59,NA,17.44,12.37 [8.59 – 17.44],NA,NA,EN,2018-09-13T07:00:00Z
CPV,Cabo Verde,Cape Verde,11.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.41,NA,NA,9.3,NA,16.35,12.41 [9.3 – 16.35],NA,NA,EN,2018-09-13T07:00:00Z
CHN,China,China,6.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.46,NA,NA,8.65,NA,17.61,12.46 [8.65 – 17.61],NA,NA,EN,2018-09-13T07:00:00Z
UZB,Uzbekistan,Uzbekistan,16.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.48,NA,NA,8.55,NA,17.85,12.48 [8.55 – 17.85],NA,NA,EN,2018-09-13T07:00:00Z
COM,Comoros,Comoros,7.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.49,NA,NA,9.16,NA,15.82,12.49 [9.16 – 15.82],NA,NA,EN,2018-09-13T07:00:00Z
NPL,Nepal,Nepal,4.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,10.52,NA,14.68,12.6 [10.52 – 14.68],NA,NA,EN,2018-09-13T07:00:00Z
KEN,Kenya,Kenya,7.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.69,NA,NA,10.78,NA,14.6,12.69 [10.78 – 14.6],NA,NA,EN,2018-09-13T07:00:00Z
MMR,Myanmar,Myanmar,5.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.85,NA,NA,8.94,NA,18.11,12.85 [8.94 – 18.11],NA,NA,EN,2018-09-13T07:00:00Z
JOR,Jordan,Jordan,35.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EMR,Eastern Mediterranean,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,NA,NA,9.09,NA,18,12.9 [9.09 – 18],NA,NA,EN,2018-09-13T07:00:00Z
KGZ,Kyrgyzstan,Kyrgyzstan,16.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.26,NA,NA,8.7,NA,19.65,13.26 [8.7 – 19.65],NA,NA,EN,2018-09-13T07:00:00Z
SLE,Sierra Leone,Sierra Leone,8.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.31,NA,NA,9.99,NA,17.5,13.31 [9.99 – 17.5],NA,NA,EN,2018-09-13T07:00:00Z
RWA,Rwanda,Rwanda,5.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.42,NA,NA,10.18,NA,17.49,13.42 [10.18 – 17.49],NA,NA,EN,2018-09-13T07:00:00Z
CAF,Central African Republic,Central African Republic,7.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.45,NA,NA,10.23,NA,17.48,13.45 [10.23 – 17.48],NA,NA,EN,2018-09-13T07:00:00Z
GIN,Guinea,Guinea,7.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.52,NA,NA,10.05,NA,17.92,13.52 [10.05 – 17.92],NA,NA,EN,2018-09-13T07:00:00Z
PNG,Papua New Guinea,Papua New Guinea,21.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.54,NA,NA,8.79,NA,20.24,13.54 [8.79 – 20.24],NA,NA,EN,2018-09-13T07:00:00Z
ETH,Ethiopia,Ethiopia,4.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.57,NA,NA,10.98,NA,16.15,13.57 [10.98 – 16.15],NA,NA,EN,2018-09-13T07:00:00Z
NPL,Nepal,Nepal,4.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.82,NA,NA,12.08,NA,15.56,13.82 [12.08 – 15.56],NA,NA,EN,2018-09-13T07:00:00Z
GMB,Gambia,Gambia,10.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.18,NA,NA,10.62,NA,18.69,14.18 [10.62 – 18.69],NA,NA,EN,2018-09-13T07:00:00Z
BLR,Belarus,Belarus,24.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA,10.22,NA,19.37,14.2 [10.22 – 19.37],NA,NA,EN,2018-09-13T07:00:00Z
KEN,Kenya,Kenya,7.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.21,NA,NA,12.03,NA,16.4,14.21 [12.03 – 16.4],NA,NA,EN,2018-09-13T07:00:00Z
CHN,China,China,6.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.37,NA,NA,10.29,NA,19.71,14.37 [10.29 – 19.71],NA,NA,EN,2018-09-13T07:00:00Z
MWI,Malawi,Malawi,5.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.47,NA,NA,12.35,NA,16.59,14.47 [12.35 – 16.59],NA,NA,EN,2018-09-13T07:00:00Z
BEN,Benin,Benin,9.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA,NA,11.07,NA,19,14.6 [11.07 – 19],NA,NA,EN,2018-09-13T07:00:00Z
STP,Sao Tome and Principe,Sao Tome and Principe,12.4,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.63,NA,NA,11.02,NA,19.13,14.63 [11.02 – 19.13],NA,NA,EN,2018-09-13T07:00:00Z
BGD,Bangladesh,Bangladesh,3.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.78,NA,NA,8.78,NA,20.79,14.78 [8.78 – 20.79],NA,NA,EN,2018-09-13T07:00:00Z
BFA,Burkina Faso,Burkina Faso,5.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.97,NA,NA,10.86,NA,19.09,14.97 [10.86 – 19.09],NA,NA,EN,2018-09-13T07:00:00Z
LAO,Lao People's Democratic Republic,Laos,5.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.03,NA,NA,11.22,NA,18.84,15.03 [11.22 – 18.84],NA,NA,EN,2018-09-13T07:00:00Z
BLR,Belarus,Belarus,24.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,10.83,NA,20.89,15.2 [10.83 – 20.89],NA,NA,EN,2018-09-13T07:00:00Z
CAF,Central African Republic,Central African Republic,7.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.25,NA,NA,11.55,NA,19.87,15.25 [11.55 – 19.87],NA,NA,EN,2018-09-13T07:00:00Z
BWA,Botswana,Botswana,18.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.55,NA,NA,12.02,NA,19.89,15.55 [12.02 – 19.89],NA,NA,EN,2018-09-13T07:00:00Z
KEN,Kenya,Kenya,7.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.72,NA,NA,13.27,NA,18.17,15.72 [13.27 – 18.17],NA,NA,EN,2018-09-13T07:00:00Z
SEN,Senegal,Senegal,8.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.73,NA,NA,13.25,NA,18.21,15.73 [13.25 – 18.21],NA,NA,EN,2018-09-13T07:00:00Z
MDG,Madagascar,Madagascar,5.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.87,NA,NA,12.13,NA,20.46,15.87 [12.13 – 20.46],NA,NA,EN,2018-09-13T07:00:00Z
DMA,Dominica,Dominica,27.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AMR,Americas,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.92,NA,NA,11.83,NA,21.07,15.92 [11.83 – 21.07],NA,NA,EN,2018-09-13T07:00:00Z
BLR,Belarus,Belarus,24.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.02,NA,NA,11.33,NA,22.15,16.02 [11.33 – 22.15],NA,NA,EN,2018-09-13T07:00:00Z
MNG,Mongolia,Mongolia,20.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.06,NA,NA,12.16,NA,20.89,16.06 [12.16 – 20.89],NA,NA,EN,2018-09-13T07:00:00Z
CHN,China,China,6.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21,NA,NA,11.86,NA,21.73,16.21 [11.86 – 21.73],NA,NA,EN,2018-09-13T07:00:00Z
KGZ,Kyrgyzstan,Kyrgyzstan,16.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.24,NA,NA,10.57,NA,24.1,16.24 [10.57 – 24.1],NA,NA,EN,2018-09-13T07:00:00Z
RUS,Russian Federation,Russia,23.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.25,NA,NA,12.25,NA,20.24,16.25 [12.25 – 20.24],NA,NA,EN,2018-09-13T07:00:00Z
GAB,Gabon,Gabon,15,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.29,NA,NA,11.54,NA,22.49,16.29 [11.54 – 22.49],NA,NA,EN,2018-09-13T07:00:00Z
BTN,Bhutan,Bhutan,6.4,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.44,NA,NA,13.74,NA,19.15,16.44 [13.74 – 19.15],NA,NA,EN,2018-09-13T07:00:00Z
RWA,Rwanda,Rwanda,5.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.56,NA,NA,12.61,NA,21.43,16.56 [12.61 – 21.43],NA,NA,EN,2018-09-13T07:00:00Z
ETH,Ethiopia,Ethiopia,4.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.82,NA,NA,13.31,NA,20.32,16.82 [13.31 – 20.32],NA,NA,EN,2018-09-13T07:00:00Z
FJI,Fiji,Fiji,30.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.84,NA,NA,12.07,NA,22.9,16.84 [12.07 – 22.9],NA,NA,EN,2018-09-13T07:00:00Z
GHA,Ghana,Ghana,10.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.94,NA,NA,13.17,NA,20.71,16.94 [13.17 – 20.71],NA,NA,EN,2018-09-13T07:00:00Z
BEN,Benin,Benin,9.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.98,NA,NA,12.79,NA,22.2,16.98 [12.79 – 22.2],NA,NA,EN,2018-09-13T07:00:00Z
PNG,Papua New Guinea,Papua New Guinea,21.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,10.99,NA,25.36,17 [10.99 – 25.36],NA,NA,EN,2018-09-13T07:00:00Z
ZMB,Zambia,Zambia,8.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.02,NA,NA,13.15,NA,20.89,17.02 [13.15 – 20.89],NA,NA,EN,2018-09-13T07:00:00Z
MWI,Malawi,Malawi,5.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.02,NA,NA,14.32,NA,19.72,17.02 [14.32 – 19.72],NA,NA,EN,2018-09-13T07:00:00Z
WSM,Samoa,Samoa,47.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.08,NA,NA,11.79,NA,24.07,17.08 [11.79 – 24.07],NA,NA,EN,2018-09-13T07:00:00Z
TON,Tonga,Tonga,48.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.11,NA,NA,12.23,NA,23.26,17.11 [12.23 – 23.26],NA,NA,EN,2018-09-13T07:00:00Z
TLS,Timor-Leste,Timor-Leste,3.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.13,NA,NA,11.76,NA,24.13,17.13 [11.76 – 24.13],NA,NA,EN,2018-09-13T07:00:00Z
